2014-12-20 18:23:01 INFO  QueuePriorityAlgorithm:83 - size of seed urls: 1
2014-12-20 18:23:19 WARN  HibernatePersistence:58 - HHH015016: Encountered a deprecated javax.persistence.spi.PersistenceProvider [org.hibernate.ejb.HibernatePersistence]; use [org.hibernate.jpa.HibernatePersistenceProvider] instead.
2014-12-20 18:23:19 WARN  HibernatePersistence:58 - HHH015016: Encountered a deprecated javax.persistence.spi.PersistenceProvider [org.hibernate.ejb.HibernatePersistence]; use [org.hibernate.jpa.HibernatePersistenceProvider] instead.
2014-12-20 18:23:19 WARN  HibernatePersistence:58 - HHH015016: Encountered a deprecated javax.persistence.spi.PersistenceProvider [org.hibernate.ejb.HibernatePersistence]; use [org.hibernate.jpa.HibernatePersistenceProvider] instead.
2014-12-20 18:23:19 INFO  LogHelper:46 - HHH000204: Processing PersistenceUnitInfo [
	name: urlEntry
	...]
2014-12-20 18:23:19 INFO  Version:54 - HHH000412: Hibernate Core {4.3.3.Final}
2014-12-20 18:23:19 INFO  Environment:239 - HHH000206: hibernate.properties not found
2014-12-20 18:23:19 INFO  Environment:346 - HHH000021: Bytecode provider name : javassist
2014-12-20 18:23:19 INFO  Version:66 - HCANN000001: Hibernate Commons Annotations {4.0.4.Final}
2014-12-20 18:23:19 INFO  C3P0ConnectionProvider:133 - HHH010002: C3P0 using driver: com.mysql.jdbc.Driver at URL: jdbc:mysql://127.0.0.1:3306/urlEntry
2014-12-20 18:23:19 INFO  C3P0ConnectionProvider:134 - HHH000046: Connection properties: {user=root, password=****}
2014-12-20 18:23:19 INFO  C3P0ConnectionProvider:137 - HHH000006: Autocommit mode: false
2014-12-20 18:23:20 INFO  MLog:92 - MLog clients using log4j logging.
2014-12-20 18:23:20 INFO  C3P0Registry:216 - Initializing c3p0-0.9.2.1 [built 20-March-2013 10:47:27 +0000; debug? true; trace: 10]
2014-12-20 18:23:20 INFO  AbstractPoolBackedDataSource:522 - Initializing c3p0 pool... com.mchange.v2.c3p0.PoolBackedDataSource@613852b5 [ connectionPoolDataSource -> com.mchange.v2.c3p0.WrapperConnectionPoolDataSource@e7bc1d97 [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, debugUnreturnedConnectionStackTraces -> false, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, identityToken -> 1hges5d96svmyo4n57ylh|5c42d2b7, idleConnectionTestPeriod -> 0, initialPoolSize -> 1, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 30, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 12, maxStatements -> 10, maxStatementsPerConnection -> 0, minPoolSize -> 1, nestedDataSource -> com.mchange.v2.c3p0.DriverManagerDataSource@b853f832 [ description -> null, driverClass -> null, factoryClassLocation -> null, identityToken -> 1hges5d96svmyo4n57ylh|1d470d0, jdbcUrl -> jdbc:mysql://127.0.0.1:3306/urlEntry, properties -> {user=******, password=******} ], preferredTestQuery -> null, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, usesTraditionalReflectiveProxies -> false; userOverrides: {} ], dataSourceName -> null, factoryClassLocation -> null, identityToken -> 1hges5d96svmyo4n57ylh|476b0ae6, numHelperThreads -> 3 ]
2014-12-20 18:23:21 INFO  Dialect:145 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2014-12-20 18:23:21 INFO  LobCreatorBuilder:97 - HHH000423: Disabling contextual LOB creation as JDBC driver reported JDBC version [3] less than 4
2014-12-20 18:23:21 INFO  ASTQueryTranslatorFactory:47 - HHH000397: Using ASTQueryTranslatorFactory
2014-12-20 18:23:21 INFO  SchemaUpdate:182 - HHH000228: Running hbm2ddl schema update
2014-12-20 18:23:21 INFO  SchemaUpdate:193 - HHH000102: Fetching database metadata
2014-12-20 18:23:21 INFO  SchemaUpdate:205 - HHH000396: Updating schema
2014-12-20 18:23:21 INFO  TableMetadata:66 - HHH000261: Table found: urlEntry.urlentry
2014-12-20 18:23:21 INFO  TableMetadata:67 - HHH000037: Columns: [parent, score, isinter, id, url]
2014-12-20 18:23:21 INFO  TableMetadata:69 - HHH000108: Foreign keys: []
2014-12-20 18:23:21 INFO  TableMetadata:70 - HHH000126: Indexes: [primary]
2014-12-20 18:23:21 INFO  SchemaUpdate:242 - HHH000232: Schema update complete
2014-12-20 18:23:22 WARN  HqlSqlWalker:995 - [DEPRECATION] Encountered positional parameter near line 1, column 55.  Positional parameter are considered deprecated; use named parameters or JPA-style positional parameters instead.
2014-12-20 18:26:48 INFO  QueuePriorityAlgorithm:83 - size of seed urls: 26
